,item_name,category,price
0,Spicy Big Tasty,Beef,From L.E.225.00
1,Triple Cheeseburger,Beef,From L.E.155.00
2,Big Mac®,Beef,From L.E.125.00
3,Big Tasty®,Beef,From L.E.220.00
4,Double Big Tasty®,Beef,From L.E.320.00
5,McRoyale®,Beef,From L.E.235.00
6,Double McRoyale®,Beef,From L.E.310.00
7,Little Tasty,Beef,From L.E.135.00
8,Cheeseburger,Beef,From L.E.60.00
9,Cheeseburger Deluxe,Beef,From L.E.105.00
10,McDouble®,Beef,From L.E.120.00
11,Beefburger,Beef,From L.E.55.00
12,Double Beefburger,Beef,From L.E.125.00
13,Double Cheeseburger,Beef,From L.E.140.00
14,McChicken® Smokey,Chicken,From L.E.125.00
15,Spicy McNuggets® 6 Pieces,Chicken,From L.E.135.00
16,Spicy McNuggets® 9 Pieces,Chicken,From L.E.165.00
17,McChicken®,Chicken,From L.E.125.00
18,Double McChicken®,Chicken,From L.E.235.00
19,Big Tasty® Chicken,Chicken,From L.E.225.00
20,Grand Chicken Premier,Chicken,From L.E.225.00
21,Grand Chicken Spicy,Chicken,From L.E.225.00
22,Chicken Fillet,Chicken,From L.E.190.00
23,Spicy Chicken Fillet,Chicken,From L.E.190.00
24,Chicken MACDO®,Chicken,From L.E.60.00
25,Spicy Chicken MACDO®,Chicken,From L.E.100.00
26,Chicken MACDO® Deluxe,Chicken,From L.E.150.00
27,Spicy Chicken MACDO® Deluxe,Chicken,From L.E.110.00
28,Chicken Mac®,Chicken,From L.E.190.00
29,Filet-O-Fish®,Fish,From L.E.130.00
30,Double Filet-O-Fish®,Fish,From L.E.160.00
31,Potato Dippers,Sides,From L.E.80.00
32,Chicken Wings 3 Pieces,Sides,From L.E.95.00
33,Triple Dip Box,Sides,From L.E.265.00
34,Chicken Wings 5 Pieces,Sides,From L.E.135.00
35,Spicy Chicken Wings 3 Pieces,Sides,From L.E.95.00
36,Spicy Chicken Wings 5 Pieces,Sides,From L.E.135.00
37,Spicy McNuggets® 4 Pieces,Sides,From L.E.120.00
38,Spicy McNuggets® 6 Pieces,Sides,From L.E.135.00
39,Spicy McNuggets® 9 Pieces,Sides,From L.E.165.00
40,Chicken Strips,Sides,From L.E.105.00
41,Spicy Chicken Strips,Sides,From L.E.85.00
42,Green Salad,Sides,From L.E.90.00
43,McNuggets® 4 Pieces,Sides,From L.E.115.00
44,McNuggets® 6 Pieces,Sides,From L.E.130.00
45,McNuggets® 9 Pieces,Sides,From L.E.160.00
46,Chicken Caesar Salad,Sides,From L.E.150.00
47,McFries®,Sides,From L.E.90.00
48,Americano,Beverages,From L.E.50.00
49,Cappuccino,Beverages,From L.E.75.00
50,Latte Regular,Beverages,From L.E.75.00
51,Coca Cola Zero Can,Beverages,From L.E.75.00
52,Sprite Zero Can,Beverages,From L.E.75.00
53,Chocolate Milkshake,Beverages,From L.E.80.00
54,Strawberry Milkshake,Beverages,From L.E.80.00
55,Vanilla Milkshake,Beverages,From L.E.80.00
56,McFizz Blue Passion,Beverages,From L.E.75.00
57,McFizz Strawberry,Beverages,From L.E.75.00
58,Orange Juice,Beverages,From L.E.60.00
59,Coca-Cola,Beverages,From L.E.55.00
60,Coca-Cola Zero,Beverages,From L.E.55.00
61,Sprite,Beverages,From L.E.55.00
62,Fanta,Beverages,From L.E.55.00
63,Coca-Cola Can,Beverages,From L.E.75.00
64,Sprite Can,Beverages,From L.E.75.00
65,Fanta Can,Beverages,From L.E.75.00
66,Hot Tea,Beverages,From L.E.35.00
67,Water,Beverages,From L.E.25.00
68,Mango Sundae,Desserts,From L.E.75.00
69,Oreo McFlurry®,Desserts,From L.E.95.00
70,Chocolate Fudge Sundae,Desserts,From L.E.75.00
71,Caramel Sundae,Desserts,From L.E.75.00
72,Strawberry Sundae,Desserts,From L.E.75.00
73,Apple Pie,Desserts,From L.E.75.00
